example_id                                         | status | run_time        |
-------------------------------------------------- | ------ | --------------- |
./spec/toy_robot_simulator/position_spec.rb[1:1:1] | passed | 0.00003 seconds |
./spec/toy_robot_simulator/position_spec.rb[1:1:2] | passed | 0.0004 seconds  |
./spec/toy_robot_simulator/robot_spec.rb[1:1:1]    | passed | 0.00043 seconds |
./spec/toy_robot_simulator/robot_spec.rb[1:2:1]    | passed | 0.00004 seconds |
./spec/toy_robot_simulator/robot_spec.rb[1:3:1:1]  | passed | 0.00003 seconds |
./spec/toy_robot_simulator/robot_spec.rb[1:3:2:1]  | passed | 0.00004 seconds |
./spec/toy_robot_simulator/table_spec.rb[1:1:1:1]  | passed | 0.00003 seconds |
./spec/toy_robot_simulator/table_spec.rb[1:1:1:2]  | passed | 0.00002 seconds |
./spec/toy_robot_simulator/table_spec.rb[1:1:2:1]  | passed | 0.00003 seconds |
./spec/toy_robot_simulator/table_spec.rb[1:1:2:2]  | passed | 0.00003 seconds |
./spec/toy_robot_simulator/table_spec.rb[1:1:2:3]  | passed | 0.0002 seconds  |
./spec/toy_robot_simulator/table_spec.rb[1:1:2:4]  | passed | 0.00003 seconds |
